epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
103,3.2118234020128527,2.657,0.599,0.644,0.599,0.596
104,3.216784392615302,2.658,0.6,0.643,0.6,0.596
105,3.2243053646896667,2.659,0.599,0.643,0.599,0.596
106,3.2047524655179727,2.657,0.602,0.645,0.602,0.598
107,3.2147109170468875,2.657,0.599,0.643,0.599,0.596
108,3.20191628911155,2.658,0.6,0.644,0.6,0.596
109,3.2224282560695845,2.658,0.6,0.644,0.6,0.596
110,3.218885631137472,2.657,0.599,0.642,0.599,0.596
111,3.2110572920607434,2.658,0.6,0.643,0.6,0.596
112,3.208356968754773,2.657,0.6,0.642,0.6,0.596
113,3.2045362150604775,2.656,0.601,0.644,0.601,0.597
114,3.17550799729441,2.657,0.601,0.644,0.601,0.597
115,3.2093871191358394,2.658,0.6,0.643,0.6,0.597
116,3.20750093583366,2.656,0.601,0.644,0.601,0.597
117,3.2078106552541112,2.657,0.6,0.644,0.6,0.596
118,3.1934047234858824,2.657,0.601,0.644,0.601,0.597
119,3.1790425848189017,2.657,0.6,0.644,0.6,0.597
120,3.180335436060989,2.657,0.6,0.643,0.6,0.596
121,3.162628942041946,2.657,0.601,0.644,0.601,0.597
122,3.168228148574309,2.658,0.599,0.643,0.599,0.595
123,3.1741801673988643,2.658,0.601,0.645,0.601,0.597
124,3.1621125521991464,2.658,0.6,0.644,0.6,0.596
125,3.178350883958151,2.658,0.6,0.643,0.6,0.597
126,3.1676647340079294,2.658,0.6,0.643,0.6,0.596
127,3.1810906000917765,2.659,0.6,0.644,0.6,0.596
128,3.1706739351582183,2.658,0.6,0.643,0.6,0.596
129,3.182439022337933,2.656,0.601,0.644,0.601,0.597
130,3.1801082427195793,2.657,0.601,0.644,0.601,0.597
131,3.14914759230628,2.657,0.6,0.644,0.6,0.596
132,3.154868713868179,2.657,0.601,0.644,0.6,0.596
133,3.155321344858308,2.657,0.6,0.644,0.6,0.596
134,3.1398031436782374,2.656,0.6,0.644,0.6,0.596
135,3.153196502986143,2.657,0.601,0.643,0.601,0.597
136,3.1460969560473657,2.657,0.601,0.645,0.601,0.597
137,3.151777923196483,2.657,0.6,0.643,0.6,0.596
138,3.1531768546973487,2.658,0.599,0.644,0.599,0.596
139,3.151413978146706,2.657,0.601,0.644,0.601,0.597
140,3.135702250369018,2.656,0.6,0.643,0.6,0.596
141,3.138188882786736,2.658,0.599,0.642,0.599,0.595
142,3.1493991664309298,2.659,0.6,0.643,0.6,0.596
143,3.1317019141156326,2.657,0.599,0.643,0.599,0.596
144,3.129625179070077,2.658,0.601,0.644,0.601,0.597
145,3.1398113888266277,2.658,0.599,0.642,0.599,0.595
146,3.128383999123133,2.658,0.601,0.645,0.601,0.598
147,3.1297657248928106,2.659,0.6,0.643,0.6,0.596
148,3.1187769131873435,2.657,0.6,0.643,0.6,0.596
149,3.1132547482312156,2.657,0.601,0.644,0.601,0.597
150,3.1355935996420663,2.656,0.6,0.644,0.6,0.596
151,3.117973832221483,2.656,0.601,0.645,0.601,0.597
152,3.116800326076772,2.658,0.6,0.643,0.6,0.596
153,3.102588338281611,2.658,0.6,0.642,0.6,0.596
154,3.1036280730573966,2.659,0.601,0.643,0.601,0.596
155,3.1240591039295964,2.656,0.6,0.645,0.6,0.596
156,3.127216473561254,2.657,0.6,0.645,0.6,0.597
157,3.1012455282522904,2.657,0.6,0.644,0.6,0.597
158,3.1029933421946256,2.659,0.6,0.644,0.6,0.596
159,3.10885406035385,2.658,0.601,0.644,0.601,0.597
160,3.0986295436247646,2.658,0.6,0.643,0.6,0.596
161,3.0959463818110438,2.656,0.602,0.645,0.602,0.598
162,3.1017854626623276,2.657,0.599,0.643,0.599,0.595
163,3.1064539133287448,2.657,0.6,0.643,0.6,0.596
164,3.09307226903147,2.657,0.601,0.644,0.601,0.597
165,3.0957289584499184,2.659,0.6,0.644,0.6,0.596
166,3.111011581401602,2.657,0.6,0.644,0.6,0.596
167,3.092646945187514,2.656,0.602,0.645,0.602,0.598
168,3.0929828559537587,2.657,0.6,0.642,0.6,0.595
169,3.0929276751492805,2.656,0.601,0.645,0.601,0.598
170,3.0810709906746445,2.656,0.601,0.644,0.601,0.597
171,3.090142390978851,2.657,0.599,0.642,0.599,0.595
172,3.0959595029445577,2.658,0.599,0.643,0.599,0.595
173,3.0846160963820894,2.658,0.601,0.645,0.601,0.597
174,3.0847469894505806,2.657,0.601,0.644,0.601,0.597
175,3.0704169150450817,2.656,0.601,0.646,0.601,0.597
176,3.0731317292479017,2.658,0.6,0.644,0.6,0.597
