epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
104,2.4037081016528523,1.272,0.688,0.692,0.688,0.684
105,2.400865416496304,1.272,0.688,0.691,0.688,0.684
106,2.399262843485514,1.272,0.688,0.691,0.688,0.684
107,2.3974297956363197,1.274,0.689,0.693,0.688,0.685
108,2.40041892963733,1.273,0.689,0.692,0.689,0.685
109,2.3984087266601852,1.273,0.689,0.692,0.689,0.685
110,2.398033457460288,1.272,0.689,0.692,0.689,0.685
111,2.3941740423711892,1.271,0.69,0.693,0.69,0.686
112,2.3933416559379626,1.273,0.689,0.692,0.689,0.685
113,2.395253356192207,1.273,0.69,0.693,0.69,0.686
114,2.3950582723753806,1.27,0.689,0.692,0.689,0.685
115,2.3945436461463245,1.271,0.689,0.692,0.689,0.685
116,2.391714794353024,1.274,0.689,0.692,0.689,0.685
117,2.391657856844893,1.273,0.689,0.691,0.689,0.685
118,2.390992260655748,1.272,0.689,0.693,0.689,0.685
119,2.390162038772134,1.272,0.689,0.693,0.688,0.685
120,2.383873253426527,1.27,0.688,0.692,0.688,0.684
121,2.383827685547561,1.271,0.689,0.692,0.689,0.685
122,2.383024375592808,1.271,0.689,0.693,0.689,0.685
123,2.3853457932086815,1.27,0.69,0.693,0.69,0.686
124,2.3820633634676263,1.272,0.689,0.692,0.689,0.685
125,2.3816306247543486,1.272,0.689,0.692,0.689,0.685
126,2.382832958715185,1.271,0.689,0.692,0.689,0.685
127,2.382802254718457,1.271,0.689,0.692,0.689,0.685
128,2.3828350901544146,1.269,0.689,0.692,0.689,0.685
129,2.38262941781571,1.269,0.689,0.692,0.689,0.685
130,2.38016973910054,1.27,0.688,0.692,0.688,0.685
