epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
103,1.529376978381243,1.108,0.73,0.734,0.73,0.727
104,1.524015287883287,1.109,0.73,0.733,0.73,0.726
105,1.5210936819221343,1.11,0.731,0.734,0.731,0.728
106,1.517034582289762,1.109,0.731,0.735,0.731,0.728
107,1.5155175093623567,1.111,0.729,0.733,0.729,0.726
108,1.5119362892414594,1.11,0.729,0.733,0.729,0.726
109,1.5110655467503553,1.113,0.729,0.733,0.729,0.726
110,1.5073262990408338,1.114,0.73,0.734,0.73,0.727
111,1.504185053879165,1.112,0.73,0.733,0.73,0.727
112,1.5010157035464042,1.113,0.73,0.734,0.73,0.728
113,1.500444628132284,1.113,0.731,0.734,0.731,0.728
114,1.4962778297596395,1.115,0.729,0.732,0.729,0.726
115,1.4945317887127822,1.119,0.729,0.733,0.729,0.726
116,1.491382690061519,1.116,0.73,0.733,0.73,0.727
117,1.4898444825502553,1.118,0.729,0.732,0.729,0.726
118,1.488802549187591,1.12,0.729,0.732,0.729,0.726
119,1.4839597901409234,1.119,0.729,0.734,0.729,0.727
