epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
102,1.29585986419543,1.263,0.699,0.702,0.699,0.695
103,1.2971393373691662,1.265,0.699,0.702,0.699,0.695
104,1.2949010455497603,1.263,0.698,0.701,0.698,0.694
105,1.2932598756521847,1.264,0.698,0.701,0.698,0.694
106,1.2952973560825287,1.264,0.698,0.701,0.698,0.694
107,1.2940551096093156,1.263,0.698,0.701,0.698,0.695
108,1.296077403134668,1.262,0.698,0.701,0.698,0.695
109,1.2911203730140894,1.266,0.699,0.702,0.699,0.695
110,1.29632492957028,1.263,0.699,0.701,0.699,0.695
111,1.292981266582366,1.263,0.698,0.701,0.698,0.694
112,1.2941736022913202,1.263,0.699,0.701,0.699,0.694
113,1.2915353546348387,1.263,0.698,0.702,0.699,0.695
114,1.289940120165302,1.264,0.699,0.702,0.699,0.695
115,1.2962380885625293,1.261,0.699,0.702,0.699,0.695
116,1.2897731147096856,1.263,0.699,0.702,0.699,0.695
117,1.2919394125565864,1.266,0.699,0.702,0.699,0.695
118,1.2909267950705898,1.262,0.698,0.701,0.699,0.695
119,1.2907450604788941,1.263,0.699,0.701,0.699,0.695
120,1.2914092421817522,1.264,0.699,0.702,0.699,0.695
121,1.290000283375095,1.263,0.699,0.702,0.699,0.695
122,1.2900323907339748,1.263,0.699,0.701,0.699,0.695
123,1.2927901671118331,1.263,0.699,0.702,0.699,0.695
124,1.2890014483481094,1.264,0.699,0.702,0.699,0.695
125,1.291658839326434,1.263,0.699,0.701,0.699,0.695
126,1.289647386420415,1.263,0.698,0.701,0.699,0.695
127,1.2916774847360029,1.263,0.699,0.702,0.699,0.695
128,1.289616625999068,1.263,0.699,0.702,0.699,0.695
129,1.2904162551630436,1.264,0.699,0.702,0.699,0.695
130,1.291724019247593,1.263,0.699,0.702,0.699,0.695
131,1.2905463234076955,1.263,0.699,0.702,0.699,0.695
132,1.2902679200212444,1.263,0.699,0.702,0.699,0.695
133,1.2903229804386303,1.263,0.699,0.702,0.699,0.695
134,1.2886237191182057,1.264,0.699,0.702,0.699,0.695
135,1.2900482836940665,1.263,0.699,0.702,0.699,0.695
136,1.2904215911633128,1.263,0.699,0.702,0.699,0.695
137,1.2889590090668657,1.263,0.699,0.702,0.699,0.695
138,1.2877120415353789,1.264,0.699,0.702,0.699,0.695
139,1.288956678780729,1.264,0.699,0.702,0.699,0.695
140,1.2903197311249774,1.263,0.699,0.702,0.699,0.695
141,1.290034670002728,1.263,0.699,0.702,0.699,0.695
142,1.290211144033423,1.263,0.699,0.702,0.699,0.695
143,1.287869307809996,1.263,0.699,0.701,0.699,0.695
144,1.2891849475207535,1.264,0.699,0.701,0.699,0.695
145,1.2909739348054445,1.264,0.699,0.701,0.699,0.695
146,1.2904756264272585,1.263,0.699,0.701,0.699,0.695
147,1.290069309978388,1.263,0.699,0.701,0.699,0.695
148,1.2920033431860674,1.263,0.699,0.702,0.699,0.695
149,1.2891680735107283,1.263,0.699,0.702,0.699,0.695
