epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
102,0.16159632249115313,1.163,0.737,0.741,0.737,0.735
103,0.15862122867529965,1.159,0.738,0.742,0.738,0.736
104,0.15605738030545407,1.17,0.739,0.742,0.739,0.737
105,0.1540526667980516,1.174,0.739,0.743,0.739,0.737
106,0.15215172158614307,1.171,0.737,0.741,0.737,0.735
107,0.1501379740477585,1.179,0.738,0.741,0.738,0.736
108,0.14801347059151107,1.178,0.737,0.741,0.737,0.735
109,0.14586876114989117,1.178,0.737,0.741,0.737,0.735
110,0.14437856117611625,1.178,0.738,0.742,0.738,0.736
111,0.14286149934065223,1.178,0.737,0.74,0.737,0.734
112,0.14129017269576968,1.182,0.737,0.741,0.737,0.735
113,0.13927843958308395,1.187,0.737,0.74,0.737,0.735
114,0.13795474380178818,1.193,0.737,0.741,0.737,0.735
115,0.13624639109667333,1.188,0.737,0.741,0.737,0.735
116,0.13521252090638217,1.192,0.737,0.741,0.737,0.735
117,0.13335040254098368,1.191,0.736,0.74,0.737,0.734
118,0.13232471562701661,1.204,0.736,0.74,0.736,0.734
119,0.13041642957834756,1.195,0.737,0.741,0.737,0.735
120,0.12504025367465926,1.188,0.737,0.74,0.737,0.734
121,0.12331008205815773,1.191,0.737,0.739,0.737,0.734
122,0.1226622339410456,1.194,0.737,0.741,0.737,0.735
123,0.12191063584624912,1.194,0.739,0.742,0.739,0.736
124,0.12183116195699781,1.193,0.738,0.742,0.738,0.736
125,0.12147124448906713,1.19,0.737,0.741,0.737,0.735
126,0.120591453618714,1.191,0.738,0.742,0.738,0.736
127,0.12096309351664751,1.199,0.737,0.741,0.737,0.735
128,0.12058026531746766,1.192,0.738,0.741,0.738,0.736
129,0.11967675640997827,1.194,0.738,0.741,0.738,0.736
130,0.11999905296600517,1.196,0.738,0.741,0.738,0.735
