epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
102,1.2345459340710612,1.105,0.722,0.728,0.722,0.719
103,1.233506301918734,1.101,0.724,0.73,0.724,0.721
104,1.2309923767194915,1.098,0.725,0.731,0.725,0.722
105,1.231497531745779,1.103,0.724,0.73,0.724,0.721
106,1.227695148667859,1.101,0.724,0.73,0.724,0.721
107,1.2255452438654486,1.104,0.722,0.728,0.722,0.719
108,1.226013180139789,1.102,0.724,0.73,0.724,0.72
109,1.2212289699796839,1.097,0.724,0.73,0.724,0.721
110,1.2219864532317253,1.1,0.724,0.73,0.724,0.721
111,1.2210430870321511,1.099,0.723,0.729,0.723,0.72
112,1.22097932083056,1.097,0.725,0.731,0.725,0.721
113,1.2169745018571176,1.099,0.725,0.731,0.725,0.721
